id,title,brand,price,description,image,slug,category_id
1,DB Longboards CoreFlex Crossbow 41 Bamboo Fiberglass Longboard Complete,sports & outdoors ,237.68,responsive flex the crossbow features a bamboo core encased in triaxial fiberglass and hd plastic for a responsive flex pattern thats second to none pumping carving have never been so satisfying flex 2 is recommended for people 120 to 170 pounds coreflex tech coreflex construction is water resistant impact resistant scratch resistant and has a flex like you wont believe these boards combine fiberglass epoxy hd plastic and bamboo to create a perfect blend of performance and strength inspired by the northwest our founding ideal is chasing adventure riding the best boards possible inspired by the hills waves beaches mountains all around our headquarters in the northwest best in the world db was founded out of sheer love of longboarding with a mission to create the best custom longboards in the world to do it sustainably to treat customers employees like family beyond compare try our skateboards accessories if you ve tried similar products by sector 9 landyachtz arbor loaded globe orangatang hawgs powell peralta blood orange caliber or gullwing,a,db-longboards,1
2,Electronic Snap Circuits Mini Kits Classpackand FM Radioand Motion Detectorand Music Box Set of 5,toys & games ,99.95,snap circuits mini kits classpack provides basic electronic circuitry activities for students in grades 2 6 includes 5 separate mini building kits an fm radio a motion detector music box space battle sound effects and a flying saucer each kit includes separate components and instructions to build each component represents one function in a circuit components snap together to create working models of everyday electronic devices activity guide provides additional projects to teach students how circuitry works,a,electronic-snap,2
3,3Doodler Create Flexy 3D Printing Filament Refill Bundle X5 Packand Over 1000 of Extruded Plastics Innovate,toys & games ,34.99,smooth 3d drawing experienced the best 3d drawing experience by only using 3doodler create plastics with 3doodler create and create 3d printing pen safe to usethe 3doodler create plastics conforms to the health requirements of astm d 4236 require no additional labelling in accordance with the us consumer product safety commissions regulations as mandated by labeling of hazardous art materials act lhama 3doodler very own type of plasticthe flexy plastic takes creativity to new levels you can make flexible fun 3d creations environmentally friendly3doodler create plastic is made of corn and are 100 compostable 125 strands of drawing funthis bundle includes 5 refill filament packs that s a total of 1043 ft of 3d drawing and doodling fun the 3doodler appget an interactive experience the app is packed with dedicated easy to follow stencil section and step by step interactive instructions receive badges for completed projects and photograph share your creations directly on social media the app is fully built on ios android all your favorite colorsthis pack includes green blue pink orange yellow,a,3doodler-create,2
4,Guillow Airplane Design Studio with Travel Case Building Kit,toys & games ,28.91,make 8 different planes at one time experiment with different designs and learn about flight all contained in part trays inside an attractive box with carry handle guillow s your one source for flying toys since 1926 made in the usa,a,guillow-airplane,2
5,Woodstock Collage 500 pc Puzzle,toys & games ,17.49,puzzle has 500 pieces completed puzzle measure 14 x 19 100 officially licensed merchandise great for fans puzzlers alike,a,woodstock-collage,2
6,Terra by Battat 4 Dinosaur Toysand Medium Dinosaurs for Kids and Collectorsand Scientifically Accurate and Designed by A Paleo Artist Age 3 4 Pc,no_category,18.66,4 medium sized dinosaurs for kids with lifelike pose accurate ratio and exquisitely detailed paint includes parasaurolophus walkeri stegosaurus ungulatus pachyrhinosaurus and euoplocephalus tutus toy dinos museum quality classic toy dinosaurs designed by an internationally renowned paleo artist educational toy dinosaur toys for kids spark curiosity about paleontology science and natural history dimensions dimensions miniature figurines measure 6 25 8 5 l 1 5 2 25 w 2 25 3 5 h inches approximately toys 6 25 8 5 l 1 5 2 25 w 2 25 3 5 h inches approximately no batteries required just imagination earth friendly recyclable packaging age suggested for ages 3 collect them all discover the entire terra by battat family of animal toy figurines and dinosaur playsets,a,terra-by,3
7,Rubie s Child s Pokemon Deluxe Pikachu Costumeand X Small,"clothing, shoes & jewelry ",29.12,polyester deluxe pokemon child s pikachu costume features a fleece jumpsuit with attached tail and headpiece with attached ears and printed face officially licensed pokemon costume look for trademark on packaging and label to help assure you ve received authentic safety tested item important costumes are sized differently than apparel use the rubie s child size chart do not choose based on child s age or clothing size group costume fun coordinate with additional pokemon costumes and accessories available from rubie s family owned family focused and based in the u s a since 1951 rubie s has classic and licensed costumes and accessories in sizes and styles for your entire family,a,rubie-s,4
8,Hoffmaster 120813 Double Tipped Triangular Crayonand 88 mm Lengthand Wrapped 500 Packs of 2,toys & games ,97.68,,a,hoffmaster-120813,2
9,ARTSCAPE Etched Glass 24 x 36 Window Filmand 24 by 36 Inch,home & kitchen ,12.99,the visual effect of textured glass and stained glass creates privacy provides uv protection no adhesives applies easily patterns repeat to cover any size window made in usa,a,artscape-etched,5
10,Pokemon TCG Sun and Moon Crimson Invasion Elite Trainer Box,no_category,38.49,the pokmon tcg sun mooncrimson invasion elite trainer box includes 8 pokmon tcg sun moon crimson invasion booster packs 65 card sleeves featuring silvally 45 pokmon tcg energy cards 6 damage counter dice 2 acrylic condition markers and 1 acrylic gx marker 1 competition legal coin flip die a collector s box to hold everything with 4 dividers to keep it organized a player s guide to the sun mooncrimson invasion expansion a code card for the pokemon trading card game official release date november 3rd 2017,a,pokemon-tcg,3
